	dimension 1	dimension 2
1001701301_G9	38.152275	-53.715218
1001701301_H9	25.089016	-44.774864
1001701301_H14	34.257824	-45.220818
1001701301_H18	33.423748	-45.278286
1001701301_I11	39.83528	-45.717636
1001701301_I19	30.627201	-45.6385
1001701301_I22	-30.966589	-2.7718062
1001701301_L10	32.7053	-52.62775
1001701301_L16	-11.375979	5.542221
1001701301_L19	13.079351	-20.597845
1001701301_M10	33.211536	-45.08461
1001701301_M13	1.9537585	15.142924
1001701301_N16	0.8042784	18.147856
1001701301_O1	38.132656	-47.971115
1001701301_O21	30.654367	-45.70377
1001701301_P13	-16.796255	6.377581
1001701303_A12	4.1413145	19.672268
1001701303_A13	-21.982277	-5.9249697
1001701303_A14	-24.811188	16.825838
1001701303_A15	-27.447317	28.228647
1001701303_A16	10.732239	20.5318
1001701303_A17	-9.988819	-0.90846217
1001701303_A18	19.646198	-31.381319
1001701303_A19	17.43278	-1.1518092
1001701303_A21	-26.682463	8.562527
1001701303_A23	20.80032	12.760024
1001701303_B12	-0.210464	24.212193
1001701303_B13	-6.0782223	21.411596
1001701303_B14	-4.6894264	11.933144
1001701303_B15	5.777182	11.731035
1001701303_B16	10.435292	12.7227955
1001701303_B19	3.087165	17.711767
1001701303_B20	35.881573	-45.424664
1001701303_B21	-13.22754	-10.571092
1001701303_B23	-17.210358	24.645008
1001701303_C12	6.067243	13.102183
1001701303_C13	21.66139	-28.410883
1001701303_C14	-2.4419968	-31.761238
1001701303_C15	-20.460957	19.031872
1001701303_C16	3.0015178	20.656868
1001701303_C17	14.064171	10.235849
1001701303_C18	-17.159727	15.522231
1001701303_C19	-15.1611805	0.45999184
1001701303_C20	2.709991	31.226727
1001701303_C22	4.909592	25.07935
1001701303_C23	-13.31247	2.6705437
1001701303_D12	-12.863158	8.360769
1001701303_D13	-0.3592625	-14.837568
1001701303_D16	3.389649	8.503914
1001701303_D17	-20.888233	1.2293378
1001701303_D18	-22.01399	-19.827171
1001701303_D19	0.76323587	19.802912
1001701303_D21	-19.606201	27.914688
1001701303_D22	17.842884	-6.480104
1001701303_D23	21.141699	17.070974
1001701303_E12	-3.3453853	5.084273
1001701303_E13	-1.0774579	15.3276415
1001701303_E15	-9.86402	-0.1475361
1001701303_E16	-30.401808	17.357975
1001701303_E18	25.830627	-1.9127723
1001701303_E19	5.836138	15.111951
1001701303_E20	-12.075735	14.4199915
1001701303_E22	3.770239	-24.993723
1001701303_E23	22.966404	13.485328
1001701303_F13	-14.689224	-4.076615
1001701303_F14	10.984469	-35.046577
1001701303_F15	-30.027979	18.242975
1001701303_F16	-8.3487015	8.76218
1001701303_F18	-4.3904233	10.535013
1001701303_F19	-7.3901577	13.130812
1001701303_F20	25.664825	-3.3956168
1001701303_F21	-14.798557	-8.87843
1001701303_F22	-17.090666	21.279383
1001701303_F23	25.234932	-15.759785
1001701303_G14	16.940334	4.5771036
1001701303_G15	15.348935	6.004682
1001701303_G16	5.593555	11.676846
1001701303_G17	-22.922161	16.19867
1001701303_G18	16.321774	-27.43505
1001701303_G19	5.3611603	-8.934508
1001701303_G20	-20.8445	1.6994839
1001701303_G21	-25.263288	6.745397
1001701303_G22	-6.791074	16.681952
1001701303_G23	-20.246498	31.282955
1001701303_H12	10.279361	24.113602
1001701303_H13	-9.354056	-25.087646
1001701303_H14	-21.170666	29.183952
1001701303_H16	13.540065	14.213959
