	dimension 1	dimension 2
1001701602_I16	-3.6062233	-6.569892
1001701602_I19	-13.074465	3.4093938
1001701602_J9	-9.287055	4.2767587
1001701602_J11	-9.515069	3.5271146
1001701602_J12	-0.38674635	2.1236687
1001701602_J16	-5.4575334	-4.2470818
1001701602_J20	-10.869545	3.0650446
1001701602_J21	-11.937925	0.016473548
1001701602_K8	-3.9852839	2.8736453
1001701602_K10	1.0992622	11.011626
1001701602_K11	7.9837685	3.0692174
1001701602_K12	7.650153	13.0856085
1001701602_K13	-2.0000448	-3.2509282
1001701602_K15	-2.6115975	3.098889
1001701602_K16	-5.827151	8.177316
1001701602_K20	-4.2274737	7.4435625
1001701602_K21	-5.4199104	-6.783845
1001701602_L1	9.439462	10.790394
1001701602_L9	-7.1664357	3.870066
1001701602_L10	-10.6778965	-4.7447786
1001701602_L11	-15.853414	1.8471243
1001701602_L12	-4.2401066	4.805454
1001701602_L14	-13.14247	3.0837166
1001701602_L15	-11.578194	-8.607609
1001701602_L16	4.3109326	15.97496
1001701602_L21	8.286784	-6.947408
1001701602_M9	-8.860741	6.0387073
1001701602_M10	-2.6891913	5.301096
1001701602_M12	12.044993	-0.004661631
1001701602_M13	-5.2470627	-8.417509
1001701602_M15	3.5406978	-0.5003591
1001701602_M16	4.752311	14.460844
1001701602_N9	-9.361957	-3.8291733
1001701602_N10	-13.696667	0.2648347
1001701602_N11	-3.4091258	1.2374357
1001701602_N12	2.809589	14.0875
1001701602_N13	4.8206825	-12.581275
1001701602_N14	-6.436035	-8.118947
1001701602_N16	-1.9149971	1.1078588
1001701602_N20	4.0141177	1.002304
1001701602_O10	-11.821123	-10.034864
1001701602_O12	-11.683246	0.009763053
1001701602_O13	3.7565393	11.655337
1001701602_O15	-5.2140746	-4.186769
1001701602_O16	-15.393973	2.3328476
1001701602_O17	-0.7060297	11.318115
1001701602_O19	-7.3078833	10.035812
1001701602_O21	-9.326253	-3.2964792
1001701602_O22	-4.1818585	5.6994834
1001701602_P9	2.9885387	8.225484
1001701602_P13	-0.085250705	-1.306693
1001701602_P15	3.8081055	5.6095605
1001701604_E15	11.81531	5.0704436
1001701604_H14	7.681461	10.984947
1001701604_K15	2.4029627	4.066868
1001701606_A1	4.4626637	10.188657
1001701606_A3	-12.096613	1.8198947
1001701606_A7	-8.603514	13.726519
1001701606_A9	-7.099278	2.8982615
1001701606_A13	13.309639	-9.311284
1001701606_B5	0.9981674	5.789956
1001701606_B7	-3.0797796	0.09418263
1001701606_B9	-3.6972153	-4.466726
1001701606_D1	11.070783	10.038964
1001701606_D2	9.572079	-7.9704885
1001701606_D4	9.789891	1.610348
1001701606_D5	8.253913	-6.936289
1001701606_E11	1.8604163	3.184315
1001701606_F6	0.9351796	9.312633
1001701606_F7	-5.5154524	9.965886
1001701606_G1	-11.318184	1.2255363
1001701606_G3	6.1882544	10.423151
1001701606_G5	3.5789616	-7.676566
1001701606_H5	-2.1351151	-7.6456017
1001701606_H20	13.506361	-9.582863
1001701606_I2	-2.6215818	-3.7473357
1001701606_I11	-2.7342086	6.2750864
1001701606_J2	-10.175972	5.9255695
1001701606_J3	2.6611094	9.960804
1001701606_J4	-10.80895	2.7868762
1001701606_J11	-13.025769	2.3576877
1001701606_K1	6.292346	-8.5756
1001701606_K3	-0.7255276	3.3190384
1001701606_K11	5.82952	8.071458
1001701606_L6	-10.542352	1.0692701
1001701606_L11	8.200358	2.8402734
1001701606_M1	-6.023804	-0.85161453
1001701606_M11	16.541775	5.9724703
1001701606_N1	-0.63752645	2.8493252
1001701606_N7	0.80313224	0.5227768
1001701606_N8	-1.8902982	-6.1769414
1001701606_O2	6.9510703	-6.2994413
1001701606_P1	-15.01188	-0.46494055
1001701606_P10	-1.6111906	3.552142
1001701701_A9	-10.809544	-4.70073
1001701701_A10	-4.708638	-14.215332
1001701701_A11	9.7085495	8.970493
1001701701_A15	8.405265	-9.076117
1001701701_B3	6.2092004	-5.7129755
1001701701_B12	-13.132105	-6.083913
1001701701_B15	-6.411054	-7.8548284
1001701701_B16	-8.639025	-4.0761013
1001701701_B23	5.293806	2.5588841
1001701701_C11	8.778666	6.0189977
1001701701_C12	9.819173	3.8904335
1001701701_C13	15.90661	3.0540667
1001701701_C16	2.7618916	-9.098808
1001701701_C21	8.739429	-12.796713
1001701701_D9	3.1269422	5.0329194
1001701701_D13	-5.566182	-15.490051
1001701701_D16	-3.0508113	-13.091591
1001701701_E11	-7.3719883	-3.6579528
1001701701_F9	3.8776135	-5.9244456
1001701701_F11	-3.7406967	-6.8111973
1001701701_F12	14.960321	3.451662
1001701701_F13	-13.271253	-1.7175939
1001701701_F16	-3.2718234	-4.42092
1001701701_G11	-3.066133	-13.580216
1001701701_G12	11.751117	5.8694215
1001701701_G14	-14.399543	-3.7051775
1001701701_G16	2.6663344	-9.581513
1001701701_G18	10.935655	-10.828963
1001701701_H10	8.379619	5.347797
